summary,date,chat_GPT_location,lat,lng,article_id,cd_district_name,hunger,refugees,humanitarian,conflict
"The article discusses a verification team being dispatched by UNMISS to Unity state in South Sudan to investigate deadly clashes and cattle rustling attacks. The clashes were between youths from a neighbouring state who stole approximately 5,000 cows. Cattle rustling has become increasingly common in South Sudan due to the material and symbolic value of cattle in the country, where bride prices are often paid in cows. Hilde Johnson, the head of UNMISS, has urged all ethnic communities to exercise restraint and end the cycle of violence.",2011-09-16,Unity state,8.9277211,29.7889248,727,Koch,True,False,False,True
"The article discusses a cattle raid that occurred between pastoral communities in Mayiandit village near the border of Warrap and Unity states in South Sudan, resulting in the deaths of at least 46 people (including women and children) and displacement of over 73,000 people. The raid was a continuation of ethnically-driven armed cattle raids that have been occurring in the region since 2005.",2011-09-18,Mayiandit village,8.7236871,30.1647036,733,Koch,True,False,False,True
"The article discusses a reconciliation team of MPs visiting Unity state who say they are satisfied that an attack from neighbouring Warrap state had killed 46 and injured 13 in Mayiandit county. The article discusses the lack of infrastructure and employment opportunities that lead to banditry and cattle raiding, damaging relations between communities and increasing tribal divisions. The commissioner for Payinjiar county in Unity State, Peter Gai Joak, calls for an increased effort from both federal and state governments to create jobs and address the issue. He also calls for campaigns for peaceful dialogues at a national level and for MPs to spend more time on the ground in their constituencies. International organizations are urged to provide humanitarian assistance to the 5,000 people displaced by the attack.",2011-09-26,Unity state,8.9277211,29.7889248,764,Koch,True,False,False,True
"The article discusses the launch of a strategic development review in Unity state, with a team visiting from Juba. The review includes various government ministries and aims to cover all sectors, with the help of development partners such as the UN Development Programme. Winrock International also presented a county data profile as a tool for planning and management. The review is ongoing and will include a final workshop with state government involvement.",2011-10-20,Bentiu,9.231487,29.8005027,933,Rubkona,True,True,True,True
"The article discusses the challenges faced by Unity state in South Sudan, including political, social, economic, and security dilemmas, which threaten its stability. The state, which is predominantly Nuer, contains most of South Sudan's oil reserves and lies on the border with north Sudan. The International Crisis Group has issued a report that examines factors fueling instability in Unity state, including armed rebellions, governance crisis, territorial disputes, cross-border tensions, economic isolation, development deficits, and a still tenuous North-South relationship.",2011-10-20,Unity state,8.9277211,29.7889248,934,Koch,False,False,False,True
"The article discusses concerns regarding the premature assumption that aid in South Sudan must focus solely on state-building, rather than emergency needs, which still require immediate attention due to persistent violence and displacement in various regions such as Unity State, Abyei, Sudan, Blue Nile, Kordofan, Jonglei State, and Pibor.",2011-10-17,Unity State,8.9277211,29.7889248,941,Koch,True,True,True,True
"The article discusses the South Sudan Liberation Movement / Army (SSLM/A) issuing a statement calling on UN agencies and aid groups to leave Unity State within a week or face violent resistance against the state government accused of human rights abuses. SSLM/A accused Governor Taban Deng Gai of physical abuse, unlawful imprisonment, and cattle impoundment against family members of SSLM/A members. The SSLM/A is a predominantly Nuer, armed rebel group operating in Unity and Upper Nile states.",2011-10-27,Unity State,8.9277211,29.7889248,967,Koch,False,True,True,True
"The article discusses the challenges faced by Unity state in South Sudan, including political, social, economic, and security issues that make for a perfect storm. The state is located along the North-South border and is a primary source of the country's economic lifeblood due to its oil deposits. The subterranean resources made it a centrepiece in Sudan's civil war, leading to devastating consequences on its people, land, and social fabric. Governance crisis, territorial disputes, cross-border tensions, economic isolation, development deficits, and a still tenuous North-South relationship fuel instability. The challenges and grievances deferred will increasingly surface in what is already a fragile environment.",2011-10-17,Bentiu,9.231487,29.8005027,974,Rubkona,False,False,False,True
"The article discusses the visit of South Sudan's chief of army general staff and deputy ministry of defence to areas in Unity state affected by militia attacks. They reported that the militias were supported by the Arabs of the north, particularly from Kharotoum. The deputy ministry of defence expressed confidence in the SPLA's capacity to protect civilians, and urged the people to support the army in their mission.",2011-11-03,Bentiu,9.231487,29.8005027,1029,Rubkona,False,False,False,True
"The article discusses the Secretary-General's deep concern over the escalating tensions between Sudan and South Sudan, mainly in relation to supporting rebel groups and incursions into each other's territories. The Secretary-General condemns the Sudan Armed Force's attack on the Yida area in Unity State and the formation of a new military alliance of Darfur rebel movements and the Sudan People Liberation Movement-North. The Secretary-General calls for all parties to refrain from using force and resolve the conflict through political dialogue and urges Sudan and South Sudan to exercise restraint in managing border tensions and recommit to a negotiated settlement.",2011-11-14,Yida area in Unity State,8.9277211,29.7889248,1044,Koch,True,True,True,True
"The article discusses the condemnation by the United States of air strikes made by the Sudan Armed Forces (SAF) on a refugee camp located in Unity State, South Sudan. The attack killed 12 people and injured more than 20 others. The South Sudanese officials claimed that SAF released five bombs at the Yida refugee camp, which houses more than 15,000 civilians. The SAF denied carrying out any air attacks against South Sudan, but witnesses confirmed that bombing took place. The incident raised tension between Sudan and South Sudan and increased the potential for direct confrontation.",2011-11-10,Unity State,8.9277211,29.7889248,1048,Koch,False,False,False,True
"The article discusses the accusations and tensions between Sudan and South Sudan, with Sudan alleging that South Sudan is supporting rebels in Sudan's South Kordofan and Blue Nile regions and working to destabilize and weaken Sudan. A Logistics Officer in the South Sudanese army (SPLA) confessed to using a location called Serjas in Unity State as a base to supply the rebel Sudan People's Liberation Movement - North (SPLM-N) fighting against the Sudanese army in South Kordofan. Sudan considers the SPLM-N fighters part of the South Sudan army, while South Sudan denies any involvement. The article also mentions a refugee camp in Yida, Upper Nile, established by Sudanese refugees from the Nuba Mountains region.",2011-11-14,"Serjas, Unity State",8.9277211,29.7889248,1055,Koch,False,True,True,True
"The article discusses Secretary-General Ban Ki-moon's deep concern about the escalating tensions between Sudan and South Sudan due to recent incursions into each other's territory and cross-border support of rebel groups. Ban condemned an aerial bombardment by the Sudanese military against the Yida area of South Sudan's Unity state and the reported establishment of a new military alliance between some rebel movements in the Darfur region and the Sudan People's Liberation Movement-North (SPLM-N). Ban calls on all parties to refrain from the use of force and reaffirms that conflict can only be resolved through political dialogue, and urges the governments of Sudan and South Sudan to exercise restraint in managing border tensions and to recommit to a negotiated settlement of outstanding post-CPA issues.",2011-11-14,Yida area of South Sudan's Unity state,8.9277211,29.7889248,1060,Koch,True,True,True,True
"The article discusses the rebel South Sudan Liberation Army's demand for the UN refugee agency to evacuate 15,000 Nuba refugees settled in Northern part of Bentiu, with the warning of beginning an attack on Bentiu if not contacted by the UN High Commission for Refugees (UNHCR). The group accuses the governor of Unity state for refusing to resettle the refugees with the intention of garnering military support from the UN. The article also mentions the withdrawal of Oxfam staff from Upper Nile state due to the increased insecurity caused by the rebels and a recent bombing of a refugee camp in Unity state by the Sudanese army. Lastly, President Salva Kiir Mayadrit accuses the rebels of carrying out a proxy war instigated by the Khartoum government.",2011-11-15,Bentiu,9.231487,29.8005027,1065,Rubkona,True,True,True,True
"The article discusses the bombing of a refugee site in Yida, Unity State, South Sudan, which impacted a temporary camp that shelters over 20,000 refugees who have recently fled violence in the Nuba Mountains of Sudan's Southern Kordofan State. Several civilians have been uprooted since June as a result of fighting between Sudan and South Sudan which is of concern to the UNHCR. As many as 55,000 civilians originating from the Damazine and Kurmuk areas are said to be moving southwards in Sudan's Blue Nile state with some heading towards Chali. Others are crossing into New Guffa village, and Bunj, the capital of Maban county in South Sudan's Upper Nile state. New arrivals are being registered in Bunj town while UN assessment teams are planning to travel to Maban over the weekend to assess the humanitarian conditions of new arrivals.",2011-11-11,Unity State,8.9277211,29.7889248,1081,Koch,False,True,True,True
"The article discusses South Sudan's ongoing efforts to disarm civilians and address the issue of rampant cattle raids and banditry, which has been fueled by the country's decades-long civil war and persistent border conflicts with Sudan. Despite the disarmament campaigns, many civilians continue to live in fear and some are skeptical about the effectiveness of the efforts, especially in neighboring regions. The International Crisis Group recommends a comprehensive strategy that focuses on improving security and the standard of life to address the underlying causes of the violence.",2011-11-27,Unity state,8.9277211,29.7889248,1224,Koch,True,False,False,True
"The article discusses the impact of violence and closed trade routes on food supply in South Sudan's northern states, causing massive price hikes and shortages of staple foods like sorghum, sugar, flour, and salt. Landmines have also compounded the problem of closed trade routes, making it difficult to import goods from the north.",2011-11-29,Bentiu,9.231487,29.8005027,1238,Rubkona,True,True,True,True
"The article discusses the ongoing security tension in Unity state, South Sudan, which is bordering Sudan. The Sudan Armed Forces are reportedly crossing into Jau, and the situation is being closely monitored by the SPLA. Antinov planes have been causing panic in Western Bahr El Ghazal state. There have been bombings by Sudan Armed Forces in several South Sudan areas, leading to displacement of civilians. Both governments have accused each other of violating agreements and human rights. The article also touches on the conflict in South Kordofan and Blue Nile, which Khartoum accuses South Sudan of supporting the rebels in the area.",2011-11-29,Unity state,8.9277211,29.7889248,1259,Koch,False,False,False,True
"The article discusses allegations by the SSLA rebel group that 55 soldiers, including three majors and five captains, from the SPLA's fourth division in Unity state have defected. The SPLA denies the claims, stating that the SSLA captured wounded soldiers instead. The SSLA has been fighting against the South Sudan government since April, accusing them of tribalism and corruption. The article also highlights tensions between the SPLA and SSLA, with the latter threatening to attack Unity state capital, Bentiu. The charity Oxfam had to stop some work and pull out staff in Jonglei state due to the SSLA insurgency. Landmines are causing an increasing problem in Unity state with rebels laying them in previously de-mined areas and roads. The article also mentions accusations by both sides about support for rebel groups from opposing governments.",2011-11-30,Bentiu,9.231487,29.8005027,1268,Rubkona,False,True,True,True
"The article discusses how South Sudanese rebels, specifically the SSLA, are warning Total, a French petroleum group, that they need permission in order to construct a pipeline to export oil produced in the newly independent country through Uganda and Kenya. The SSLA claims that the pipeline can only be decided by a 'democratic government' after the 'demise of Salva Kiir's regime.' The SSLA also claim to have 9,000 troops with a further 1,200 in training in Mayom county, Unity state.",2011-12-10,Unity State,8.9277211,29.7889248,1415,Koch,False,True,True,True
"The article discusses the impact of newly-laid landmines in South Sudan's Unity state, including the story of a six-year-old boy who lost his leg and his grandmother in a bus accident caused by an anti-tank mine. Rebel groups suspected of laying the mines have become increasingly active in the northern, oil-rich states since South Sudan voted for independence in July. The article describes how trade and movement have been crippled by the mines, and includes quotes from locals discussing the impact on their daily lives. The UN Mine Action and Coordination Centre has ramped up efforts to unblock aid and trade routes. The article also touches on the ongoing conflict between the Sudanese army and rebels over the border in South Kordofan and its impact on food prices in the region.",2011-12-13,Unity state,8.9277211,29.7889248,1445,Koch,True,True,True,True
"The article discusses an air raid conducted by Sudan armed forces in Yeda area along the border of South Sudan and Sudan in Unity State's Parieng County that bombed Yeda Payam, where internally displaced persons are camping, and intensified fighting between Sudan South armed forces (SPLA) and SAF raged at northern part of Jau towards Sudan. South Sudanese MP condemned the bombing that targeted highly populated border areas and called for more action against this barbaric act. The Ambassadors of Sudan and South Sudan to United Nations disputed Jau town's ownership.",2011-12-12,Unity State,8.9277211,29.7889248,1466,Koch,False,False,False,True
"The article discusses UNMISS inviting police, judiciary and NGOs in volatile Unity state, particularly in Bentiu and Mayom town, to do more to protect people against human rights violations. The South Sudan Liberation Army (SSLA) rebels deny being backed by Khartoum in an effort to control Unity state's oil fields. UNMISS calls for everyone in society to protect human rights and urges the South Sudan government to use social media in identifying and reporting violations.",2011-12-12,Bentiu,9.231487,29.8005027,1480,Rubkona,False,True,True,True
"The article discusses a joint statement issued by the South Sudan Liberation Movement/Army (SSLA/M) and South Sudan Democratic Movement/Army (SSDM/A) warning US companies against investing in the war zone of South Sudan, which is run by a tribal bigot- President Salva Kiir. The statement was released on the eve of Kiir's trip to the International Engagement Conference for South Sudan in Washington. The rebels claim that their safety cannot be guaranteed until Kiir is removed from power. The rebel spokesperson, Bapiny Monytuil, also announced that the rebels will be announcing a coalition on Saturday, and that they will be intensifying their attacks.",2011-12-15,Unity state,8.9277211,29.7889248,1499,Koch,True,True,True,True
"The article discusses the economic ties between Sudan and South Sudan, particularly in the oil industry. South Sudan heavily relies on oil exports, which are transported through Sudanese infrastructure. The two countries also engage in trade of other commodities, and there are huge opportunities for further economic cooperation. However, conflict and tension on their joint border hinder the attainment of this potential.",2011-12-22,Unity State,8.9277211,29.7889248,1563,Koch,False,False,False,True
"The article discusses the abduction and escape of two South Sudanese who were forcibly recruited by the rebel South Sudan Liberation Army (SSLA) in Khartoum. They were taken to South Kordofan, where they were detained for 21 days before escaping and journeying to a South Sudan army base in Kaykang. The SSLA is a rebel group that operates predominantly in Unity state, and the South Sudan army spokesperson alleges that they are mercenaries of Khartoum. The article also mentions the ongoing conflict between North Sudan's forces and rebels supported by Juba in South Kordofan.",2011-12-19,Bentiu,9.231487,29.8005027,1621,Rubkona,False,True,True,True
"The article discusses economic ties between Sudan and South Sudan, specifically their dependency on oil, their infrastructure for exporting and importing goods, and the potential for future economic cooperation. However, the achievement of this potential is hindered by elements still at the stage of conflict.",2011-12-26,Unity State,8.9277211,29.7889248,1682,Koch,False,False,False,True
"The article discusses the attack on two traders from Darfur in Rubkuay payam, Mayiandit county, Unity state, South Sudan. The assailants were dressed in military uniforms and claimed to be part of SPLA. One trader was shot in both legs and rushed to the Leer Hospital then transferred to the Doctors Without Borders (MSF) hospital at Langkien. The traders claimed that the thieves were dressed in SPLA uniforms. Witnesses stated that this was the first such incident noted. The Mayiandit county authorities promised to collaborate with the traders to improve security and deploy more police to the market.",2012-01-12,"Rubkuay payam, Mayiandit county, Unity state",8.7236871,30.1647036,1874,Koch,True,True,True,True
"The article discusses a fire that destroyed 180 shops in Rubkotna county of Unity state, South Sudan. The fire caused 436,000 SSDG worth of damage and is believed to be caused by a tea seller. The market is one of Unity state's biggest and many Darfurian traders sell their goods there. The South Sudanese army was involved in efforts to quell the blaze. It is suggested that traders work towards building permanent structures which will be less susceptible to fire damage. This is not the first time that such an incident has occurred as approximately 30 shops were destroyed by fire in Rubkotna market in 2011. Despite the devastation, traders are encouraged to continue with their work and are grateful for the assistance of state authorities.",2012-01-25,Rubkotna county,9.3297456,29.6962677,2074,Rubkona,True,True,True,True
"The article discusses ethnic clashes in Mayendit County in Unity state and Tonj East County in Warrap state, South Sudan resulting in the deaths of at least 74 people, including women and children. The communities in Warrap and Unity states have longstanding hostilities arising from multiple cattle raiding and counter-raiding.",2012-01-29,Mayendit County,8.7236871,30.1647036,2105,Koch,True,False,False,True
"The article discusses an attack that took place in a cattle camp in Warrap state, South Sudan, by a militia group from Unity state that was allegedly armed by the government of Sudan. Over 40 people were killed in the attack, which is part of the ongoing proxy conflicts between the two countries. United Nations chief Ban Ki-moon warned that the tensions and disputes over oil and borders between Sudan and South Sudan pose a major threat to regional peace and security.",2012-01-30,Unity state,8.9277211,29.7889248,2118,Koch,True,False,False,True
"The article discusses the discovery of petroleum deposits in Unity State, Southern Sudan, which led to a conflict and war of liberation between the North and the South. The Comprehensive Peace Agreement (CPA) resulted in the South gaining independence after a referendum. However, theft of oil from South Sudan by Sudan remains an issue, and the author suggests that South Sudan needs to grow in military might as a deterrent against further threats from the North.",2012-02-06,Unity State,8.9277211,29.7889248,2191,Koch,False,False,False,True
"The article discusses the governor of Unity State Taban Deng Gai urging citizens and leaders in South Sudan to not let tribalism hinder development in the nation. The governor blames Warrap State leadership for prioritizing tribalism over official activities and causing nationwide differences. The three states of Lakes, Unity, and Warrap are involved in peace talks due to recent ethnic conflicts and raiding incidents. Deng also stresses the importance of adequately applying and amending the law in order to end cattle rustling. The governor plans for the three states to have a meeting to discuss this issue and increase construction expertise in the future national capital of South Sudan, Ramciel.",2012-02-04,Bentiu,9.231487,29.8005027,2205,Rubkona,True,True,True,True
"The article discusses a series of coordinated attacks and clashes between various counties and states in South Sudan, with increased friction over cattle rustling and an attack on peace talks in Unity. The article mentions numerous casualties, alleged involvement of government militias and rebel groups, and demands for justice and peace negotiations.",2012-02-02,Mayiandit,8.7236871,30.1647036,2206,Koch,True,False,False,True
"The article discusses the National Legislative Assembly summoning the Governors of Unity, Warrap, and Lakes State, along with the Minister of Interior, to explain the on and off cattle rustling and fighting between the three states. The MPs also called for immediate humanitarian assistance to the 40,000 displaced people in Tonj East County of Warrap State. Last month, 78 people, mostly women and children, were allegedly killed in Warrap State during an attack by Unity State cattle raiders, while thousands of cattle were taken. MPs blamed this on past one-sided disarmament that made Warrap State vulnerable to attack without self-defense.",2012-02-07,Unity State,8.9277211,29.7889248,2226,Koch,True,False,False,True
"The article discusses the Deputy Minister for Defense and Veteran Affairs accusing the Sudan Government of using militias to sabotage oil fields in Unity States. The Deputy Minister also refutes reports that South Sudan signed a non-aggression agreement with Sudan, stating that only a Memorandum of Understanding was signed. Talks are ongoing in Addis Ababa on oil disputes and South Sudan seeks a fair deal on transit fees without sharing resources with Sudan.",2012-02-15,Unity States,8.9277211,29.7889248,2313,Koch,False,False,False,True
"The article discusses the exploitation of petroleum deposits in Southern Sudan by the Sudanese government for the development of the North, leading to a war of liberation by the South. After a comprehensive peace agreement, the South gained independence and accused Sudan of stealing oil from its oil fields. The article argues that the Republic of South Sudan needs to grow in military might to deter any demagogic Islamist invading and uniting it by force with the North.",2012-02-14,Unity State,8.9277211,29.7889248,2347,Koch,False,False,False,True
"The article discusses the parallels between the economic and political realities of the 1930s and the current situation in South Sudan. The author argues that the world should pay attention to the struggles of the new nation, as falling from a greater economic height will likely make the landing more difficult. The article also highlights the importance of natural resources, particularly oil, in the region and the role of China in Sudan's conflict. The author urges readers to examine history and be concerned about the risks facing the world today, particularly in light of the situation in Sudan and other parts of Africa.",2012-02-23,Unity State,8.9277211,29.7889248,2481,Koch,False,False,False,True
"The article discusses the South Sudan Liberation Army (SSLA) urging civilians, NGOs, and UN personnel to leave towns in Unity State and Upper Nile States due to the upcoming Operation Ending Corruption. SSLA forces are targeting the forces of corruption defending the regime in Juba, who live in towns with civilians, making military operations difficult to safeguard the safety of civilians. The SSLA is fulfilling its international law duty to inform all NGOs and UN personnel to leave dangerous areas prior to launching the operation. The SSLA calls upon all civilians, journalists, NGOs and UN personnel to avoid visiting SPLA Headquarters of Bilpam in Juba starting March 5, 2012. SSLA commandos who are already in Juba will conduct surgical operations to speed up the liberation of South Sudan to bring to justice Salva Kiir and his loyalists. The SSLA has loyalists within SPLA forces in Juba who will join the special commandos to attack Bilpam and Salva Kiir's office and residence.",2012-02-22,Unity State,8.9277211,29.7889248,2506,Koch,False,True,True,True
"The article discusses the suggestion by South Sudan's deputy minister of humanitarian affairs, Sabina Dario Okolong, that the route from El-Obeid, Kadugli, and Jau into Bentiu for South Sudanese returnees is no longer viable due to insecurity along the South Kordofan - Unity state border. Okolong suggested an alternative routes through Upper Nile state on the Renk road. The agreed-upon route on repatriation, signed in Khartoum, is no longer safe. This has compounded difficulties surrounding the migration of South Sudanese returning to their homeland after their country's independence was declared in July 2011.",2012-03-01,"El-Obeid, Kadugli, Jau, Bentiu, North Kordofan, South Kordofan, Unity state, Upper Nile state, Renk",9.231487,29.8005027,2593,Rubkona,True,True,True,True
"The article discusses the ongoing tensions between Sudan and South Sudan, with Sudan displaying aggression towards South Sudan despite the latter's willingness to participate in negotiations. The article highlights the issue of slavery of South Sudanese citizens by Arabs in Sudan, as well as the fact that Sudan is hindering progress towards resolution of conflicts and peaceful coexistence between the two nations. Specific locations mentioned include Unity State, Upper Nile State, Addis Ababa, Abyei, Kafia Kingi, and Hofrat As-Nahas.",2012-03-09,Unity State,8.9277211,29.7889248,2671,Koch,False,False,False,True
"The article discusses attacks carried out by Khartoum Air Force in Unity State and Upper Nile State in South Sudan, resulting in the death and injury of several SPLA soldiers. The SPLA accuses Khartoum of repeated aggression and attempts at invasion, violating international norms of mutual respect between sovereign nations. The SPLA also claims that Khartoum supplied weapons to George Athor, which caused significant civilian casualties in various attacks.",2012-03-07,Jaw in Unity State,8.9277211,29.7889248,2693,Koch,True,True,True,True
"The article discusses the assessment of a proposed way station in Unity State to accommodate the expected influx of South Sudanese returning to the new country after it split from Sudan in July last year, with an estimated 10,000 a day expected to arrive in Unity State from Renk before their departure to the other eight states in South Sudan. The organized repatriation process will begin at the start of April, and after arriving in Renk, they will depart to their respective states. However, this may be hindered by the start of the rainy season.",2012-03-07,Bentiu,9.231487,29.8005027,2705,Rubkona,True,True,True,True
"The article discusses the ongoing disarmament campaign in Jonglei state, South Sudan, and the call by the Lou Nuer community for the Murle ethnic group to be disarmed first due to their history of attacking other communities. The campaign follows years of conflict and cattle raids between the Murle, Luo Nuer and Dinka, which has left many dead or missing. The Lou Nuer community alleges that previous disarmament campaigns were unfair and left them at a disadvantage. The government aims to disarm all groups simultaneously but the Lou Nuer Chairman hopes the Murle will be disarmed first. The article highlights the need for the government to protect civilians and for citizens to co-operate with the disarmament process.",2012-03-12,Bentiu,9.231487,29.8005027,2758,Rubkona,True,True,True,True
"The article discusses the repatriation of 1,000 South Sudanese returnees from Khartoum to Bentiu, Unity state via Malakal, Upper Nile state. The returnees were welcomed by the state director for South Sudan Relief and Rehabilitation Commission, who urged them to take part in nation-development. The Unity state government will work with UN agencies to deliver food aid assistance to the returnees in the state. Of an estimated 500,000 South Sudanese residing in Khartoum, 25% have already returned.",2012-03-16,Bentiu,9.231487,29.8005027,2791,Rubkona,True,True,True,True
"The article discusses Concord, an agri-business created in Unity State, South Sudan. The project is sustainably developing 250,000 acres of land to improve food security and socio-economic benefits to the surrounding community. Concord is growing desperately needed crops including wheat, sorghum and maize, all for local consumption. It will continue to serve the needs of the domestic market for the foreseeable future. Citadel Capital has invested US$ 25 million in the project, which makes them the largest investors in South Sudan outside the oil industry. The article highlights the urgent demand for safe, healthy and affordable food in South Sudan and the need for sustainable agricultural practices.",2012-03-21,Unity State,8.9277211,29.7889248,2878,Koch,True,True,True,True
"The article discusses the arrival of the wreckage of an Iranian made plane used by Sudan Armed Forces (SAF) which was shot down by the SPLA in Jau, Unity State. The plane, painted with a Sudanese flag, was identified as an unmanned aircraft used for monitoring, spying, and collecting military information in Jau about SPLA to provide Khartoum with the positions of the SPLA forces. Col. Philip Aguer Panyang, the Army spokesperson, stated that this is adding to the series of aggressions conducted by the Khartoum regime against the people of the Republic of South Sudan and that it is evidence of Khartoum preparing for new waves of attacks against Jau and Pariang in the Unity State. South Sudan is not interested in war with Khartoum, but the SPLA forces are ready to defend their territory when provoked.",2012-03-21,"Jau, Unity State",8.9277211,29.7889248,2902,Koch,False,False,False,True
"The article discusses aerial bombing by Sudan Air force on Bentiu town in Unity State and serious ground fighting between Sudan Armed forces and Sudan People's Liberation Army at various locations including the borders of Sudan and South Sudan. The lack of border demarcation has contributed to the fighting, causing fear and displacement among civilians. The SPLA claims to have repelled SAF from South Sudan territory in self-defense and recovered the Heglig area. Both sides have accused each other of encroaching into their respective territories.",2012-03-28,Bentiu town,9.231487,29.8005027,2956,Rubkona,False,False,False,True
"The article discusses the potential devastating economic and human costs of a return to war between South Sudan and Sudan, as well as the unresolved issues that have been plaguing the two countries since South Sudan's independence in July 2011. The report estimates that a war could cost the region $100 billion, with Sudan and South Sudan potentially losing $50 billion in GDP combined. The African and Arab civil society organisations call on their Sudanese and South Sudanese counterparts to immediately cease their deadly path and resolve their issues peacefully. The Arab League and African Union plan on meeting to discuss these issues. South Sudan halting oil production and Sudan's suffering economy add to the financial risks of the conflict. The report also predicts that the anticipated overall cost would be severe for Sudan and South Sudan's neighbours, particularly Kenya and Ethiopia.",2012-03-29,Unity State,8.9277211,29.7889248,3003,Koch,False,False,False,True
