summary,date,chat_GPT_location,lat,lng,article_id,cd_district_name,hunger_bert,refugees_bert,humanitarian_bert,conflict_bert,Conflict,County level,Unity level,South Sudan / Liberation movement Conflict,Additional Notes,location_final
"The article discusses the South Sudan Liberation Movement / Army (SSLM/A) issuing a statement calling on UN agencies and aid groups to leave Unity State within a week or face violent resistance against the state government accused of human rights abuses. SSLM/A accused Governor Taban Deng Gai of physical abuse, unlawful imprisonment, and cattle impoundment against family members of SSLM/A members. The SSLM/A is a predominantly Nuer, armed rebel group operating in Unity and Upper Nile states.",2011-10-27,Unity State,8.9277211,29.7889248,967,Koch,False,True,True,True,1,no,yes,yes,SSLM army issuing UN to leave Unity Sate within a week,Unity state
"The article discusses the challenges faced by Unity state in South Sudan, including political, social, economic, and security issues that make for a perfect storm. The state is located along the North-South border and is a primary source of the country's economic lifeblood due to its oil deposits. The subterranean resources made it a centrepiece in Sudan's civil war, leading to devastating consequences on its people, land, and social fabric. Governance crisis, territorial disputes, cross-border tensions, economic isolation, development deficits, and a still tenuous North-South relationship fuel instability. The challenges and grievances deferred will increasingly surface in what is already a fragile environment.",2011-10-17,Bentiu,9.231487,29.8005027,974,Rubkona,False,False,False,True,0,no,yes,no,Relationship issues between North South in Unity state,Unity state
"The article discusses the visit of South Sudan's chief of army general staff and deputy ministry of defence to areas in Unity state affected by militia attacks. They reported that the militias were supported by the Arabs of the north, particularly from Kharotoum. The deputy ministry of defence expressed confidence in the SPLA's capacity to protect civilians, and urged the people to support the army in their mission.",2011-11-03,Bentiu,9.231487,29.8005027,1029,Rubkona,False,False,False,True,1,no,yes,no,Arabs of thhe north attacking Unity states,Unity state
"The article discusses the rebel South Sudan Liberation Army's demand for the UN refugee agency to evacuate 15,000 Nuba refugees settled in Northern part of Bentiu, with the warning of beginning an attack on Bentiu if not contacted by the UN High Commission for Refugees (UNHCR). The group accuses the governor of Unity state for refusing to resettle the refugees with the intention of garnering military support from the UN. The article also mentions the withdrawal of Oxfam staff from Upper Nile state due to the increased insecurity caused by the rebels and a recent bombing of a refugee camp in Unity state by the Sudanese army. Lastly, President Salva Kiir Mayadrit accuses the rebels of carrying out a proxy war instigated by the Khartoum government.",2011-11-15,Bentiu,9.231487,29.8005027,1065,Rubkona,True,True,True,True,1,yes,no,no,"South Sudan Liberation Army urges UN to evacuate Nuba rebels, threatening attacks on Bentiu",Rubkona
"The article discusses the impact of violence and closed trade routes on food supply in South Sudan's northern states, causing massive price hikes and shortages of staple foods like sorghum, sugar, flour, and salt. Landmines have also compounded the problem of closed trade routes, making it difficult to import goods from the north.",2011-11-29,Bentiu,9.231487,29.8005027,1238,Rubkona,True,True,True,True,1,no,yes,no,violence and closed trade routs cause price hikes and shortages of foods,Unity state
"The article discusses allegations by the SSLA rebel group that 55 soldiers, including three majors and five captains, from the SPLA's fourth division in Unity state have defected. The SPLA denies the claims, stating that the SSLA captured wounded soldiers instead. The SSLA has been fighting against the South Sudan government since April, accusing them of tribalism and corruption. The article also highlights tensions between the SPLA and SSLA, with the latter threatening to attack Unity state capital, Bentiu. The charity Oxfam had to stop some work and pull out staff in Jonglei state due to the SSLA insurgency. Landmines are causing an increasing problem in Unity state with rebels laying them in previously de-mined areas and roads. The article also mentions accusations by both sides about support for rebel groups from opposing governments.",2011-11-30,Bentiu,9.231487,29.8005027,1268,Rubkona,False,True,True,True,2,yes,no,yes,"SPLA vs SSLA, SSLa fighting against south sudan government",Rubkona
"The article discusses the impact of newly-laid landmines in South Sudan's Unity state, including the story of a six-year-old boy who lost his leg and his grandmother in a bus accident caused by an anti-tank mine. Rebel groups suspected of laying the mines have become increasingly active in the northern, oil-rich states since South Sudan voted for independence in July. The article describes how trade and movement have been crippled by the mines, and includes quotes from locals discussing the impact on their daily lives. The UN Mine Action and Coordination Centre has ramped up efforts to unblock aid and trade routes. The article also touches on the ongoing conflict between the Sudanese army and rebels over the border in South Kordofan and its impact on food prices in the region.",2011-12-13,Unity state,8.9277211,29.7889248,1445,Koch,True,True,True,True,2,no,yes,no,"Land mines in South Sudan kill people, Trade and movement crippled by mines, Sudanese army and rebels (mutiple topics)",Unity state
"The article discusses UNMISS inviting police, judiciary and NGOs in volatile Unity state, particularly in Bentiu and Mayom town, to do more to protect people against human rights violations. The South Sudan Liberation Army (SSLA) rebels deny being backed by Khartoum in an effort to control Unity state's oil fields. UNMISS calls for everyone in society to protect human rights and urges the South Sudan government to use social media in identifying and reporting violations.",2011-12-12,Bentiu,9.231487,29.8005027,1480,Rubkona,False,True,True,True,1,no,yes,no,UNMISS invites everyone to protect human rights,Unity state
"The article discusses the economic ties between Sudan and South Sudan, particularly in the oil industry. South Sudan heavily relies on oil exports, which are transported through Sudanese infrastructure. The two countries also engage in trade of other commodities, and there are huge opportunities for further economic cooperation. However, conflict and tension on their joint border hinder the attainment of this potential.",2011-12-22,Unity State,8.9277211,29.7889248,1563,Koch,False,False,False,True,0,no,yes,no,"Tensions between Sudan and South Sudan, from oil industry in particular ",Unity state
"The article discusses economic ties between Sudan and South Sudan, specifically their dependency on oil, their infrastructure for exporting and importing goods, and the potential for future economic cooperation. However, the achievement of this potential is hindered by elements still at the stage of conflict.",2011-12-26,Unity State,8.9277211,29.7889248,1682,Koch,False,False,False,True,0,no,yes,no,economic ties between Sudan and South Sudan,Unity state
"The article discusses the attack on two traders from Darfur in Rubkuay payam, Mayiandit county, Unity state, South Sudan. The assailants were dressed in military uniforms and claimed to be part of SPLA. One trader was shot in both legs and rushed to the Leer Hospital then transferred to the Doctors Without Borders (MSF) hospital at Langkien. The traders claimed that the thieves were dressed in SPLA uniforms. Witnesses stated that this was the first such incident noted. The Mayiandit county authorities promised to collaborate with the traders to improve security and deploy more police to the market.",2012-01-12,"Rubkuay payam, Mayiandit county, Unity state",8.7236871,30.1647036,1874,Koch,True,True,True,True,2,no,yes,no,"Attack on assailants dressed in SPLA uniform, not sure if this is part of the conflict",Unity state
"The article discusses a fire that destroyed 180 shops in Rubkotna county of Unity state, South Sudan. The fire caused 436,000 SSDG worth of damage and is believed to be caused by a tea seller. The market is one of Unity state's biggest and many Darfurian traders sell their goods there. The South Sudanese army was involved in efforts to quell the blaze. It is suggested that traders work towards building permanent structures which will be less susceptible to fire damage. This is not the first time that such an incident has occurred as approximately 30 shops were destroyed by fire in Rubkotna market in 2011. Despite the devastation, traders are encouraged to continue with their work and are grateful for the assistance of state authorities.",2012-01-25,Rubkotna county,9.3297456,29.6962677,2074,Rubkona,True,True,True,True,0,yes,no,no,This is about a fire that destroyed shops in Rubkona,Rubkona
"The article discusses ethnic clashes in Mayendit County in Unity state and Tonj East County in Warrap state, South Sudan resulting in the deaths of at least 74 people, including women and children. The communities in Warrap and Unity states have longstanding hostilities arising from multiple cattle raiding and counter-raiding.",2012-01-29,Mayendit County,8.7236871,30.1647036,2105,Koch,True,False,False,True,2,no,yes,no,Ethnic clashes,Unity state
"The article discusses the discovery of petroleum deposits in Unity State, Southern Sudan, which led to a conflict and war of liberation between the North and the South. The Comprehensive Peace Agreement (CPA) resulted in the South gaining independence after a referendum. However, theft of oil from South Sudan by Sudan remains an issue, and the author suggests that South Sudan needs to grow in military might as a deterrent against further threats from the North.",2012-02-06,Unity State,8.9277211,29.7889248,2191,Koch,False,False,False,True,1,no,yes,no,North and South argue over petroleum deposits,Unity state
"The article discusses the governor of Unity State Taban Deng Gai urging citizens and leaders in South Sudan to not let tribalism hinder development in the nation. The governor blames Warrap State leadership for prioritizing tribalism over official activities and causing nationwide differences. The three states of Lakes, Unity, and Warrap are involved in peace talks due to recent ethnic conflicts and raiding incidents. Deng also stresses the importance of adequately applying and amending the law in order to end cattle rustling. The governor plans for the three states to have a meeting to discuss this issue and increase construction expertise in the future national capital of South Sudan, Ramciel.",2012-02-04,Bentiu,9.231487,29.8005027,2205,Rubkona,True,True,True,True,1,no,yes,no,Governor Unity State urges to not let tribalism hinder development and stresses law and order,Unity state
"The article discusses a series of coordinated attacks and clashes between various counties and states in South Sudan, with increased friction over cattle rustling and an attack on peace talks in Unity. The article mentions numerous casualties, alleged involvement of government militias and rebel groups, and demands for justice and peace negotiations.",2012-02-02,Mayiandit,8.7236871,30.1647036,2206,Koch,True,False,False,True,2,no,yes,no,"This is between South Sudan and rebels (cattle raids), but I am not sure this is about our conflict",Unity state
"The article discusses the Deputy Minister for Defense and Veteran Affairs accusing the Sudan Government of using militias to sabotage oil fields in Unity States. The Deputy Minister also refutes reports that South Sudan signed a non-aggression agreement with Sudan, stating that only a Memorandum of Understanding was signed. Talks are ongoing in Addis Ababa on oil disputes and South Sudan seeks a fair deal on transit fees without sharing resources with Sudan.",2012-02-15,Unity States,8.9277211,29.7889248,2313,Koch,False,False,False,True,0,no,yes,no,Sudan gov accused of sabotage of oil fields,Unity state
"The article discusses the exploitation of petroleum deposits in Southern Sudan by the Sudanese government for the development of the North, leading to a war of liberation by the South. After a comprehensive peace agreement, the South gained independence and accused Sudan of stealing oil from its oil fields. The article argues that the Republic of South Sudan needs to grow in military might to deter any demagogic Islamist invading and uniting it by force with the North.",2012-02-14,Unity State,8.9277211,29.7889248,2347,Koch,False,False,False,True,1,no,yes,no,"Sudan exploiting South Sudan oil, leading to a war of liberation",Unity state
"The article discusses the parallels between the economic and political realities of the 1930s and the current situation in South Sudan. The author argues that the world should pay attention to the struggles of the new nation, as falling from a greater economic height will likely make the landing more difficult. The article also highlights the importance of natural resources, particularly oil, in the region and the role of China in Sudan's conflict. The author urges readers to examine history and be concerned about the risks facing the world today, particularly in light of the situation in Sudan and other parts of Africa.",2012-02-23,Unity State,8.9277211,29.7889248,2481,Koch,False,False,False,True,0,no,yes,no,Comparison of 1930s South Sudan and current South Sudan,Unity state
"The article discusses the suggestion by South Sudan's deputy minister of humanitarian affairs, Sabina Dario Okolong, that the route from El-Obeid, Kadugli, and Jau into Bentiu for South Sudanese returnees is no longer viable due to insecurity along the South Kordofan - Unity state border. Okolong suggested an alternative routes through Upper Nile state on the Renk road. The agreed-upon route on repatriation, signed in Khartoum, is no longer safe. This has compounded difficulties surrounding the migration of South Sudanese returning to their homeland after their country's independence was declared in July 2011.",2012-03-01,"El-Obeid, Kadugli, Jau, Bentiu, North Kordofan, South Kordofan, Unity state, Upper Nile state, Renk",9.231487,29.8005027,2593,Rubkona,True,True,True,True,0,no,yes,no,State border insecurities makes route for returnees difficult,Unity state
"The article discusses the ongoing tensions between Sudan and South Sudan, with Sudan displaying aggression towards South Sudan despite the latter's willingness to participate in negotiations. The article highlights the issue of slavery of South Sudanese citizens by Arabs in Sudan, as well as the fact that Sudan is hindering progress towards resolution of conflicts and peaceful coexistence between the two nations. Specific locations mentioned include Unity State, Upper Nile State, Addis Ababa, Abyei, Kafia Kingi, and Hofrat As-Nahas.",2012-03-09,Unity State,8.9277211,29.7889248,2671,Koch,False,False,False,True,1,no,yes,no,Sudan and South Sudan tensions,Unity state
"The article discusses attacks carried out by Khartoum Air Force in Unity State and Upper Nile State in South Sudan, resulting in the death and injury of several SPLA soldiers. The SPLA accuses Khartoum of repeated aggression and attempts at invasion, violating international norms of mutual respect between sovereign nations. The SPLA also claims that Khartoum supplied weapons to George Athor, which caused significant civilian casualties in various attacks.",2012-03-07,Jaw in Unity State,8.9277211,29.7889248,2693,Koch,True,True,True,True,2,no,yes,yes,Khartoum Air Force attacks resulting in SPLA deaths,Unity state
"The article discusses the assessment of a proposed way station in Unity State to accommodate the expected influx of South Sudanese returning to the new country after it split from Sudan in July last year, with an estimated 10,000 a day expected to arrive in Unity State from Renk before their departure to the other eight states in South Sudan. The organized repatriation process will begin at the start of April, and after arriving in Renk, they will depart to their respective states. However, this may be hindered by the start of the rainy season.",2012-03-07,Bentiu,9.231487,29.8005027,2705,Rubkona,True,True,True,True,0,no,yes,no,Repatriatation of South Sudan in Unity State way station,Unity state
"The article discusses the repatriation of 1,000 South Sudanese returnees from Khartoum to Bentiu, Unity state via Malakal, Upper Nile state. The returnees were welcomed by the state director for South Sudan Relief and Rehabilitation Commission, who urged them to take part in nation-development. The Unity state government will work with UN agencies to deliver food aid assistance to the returnees in the state. Of an estimated 500,000 South Sudanese residing in Khartoum, 25% have already returned.",2012-03-16,Bentiu,9.231487,29.8005027,2791,Rubkona,True,True,True,True,0,yes,no,no,"Repatriatation of South Sudan in Bentiu, refugees were welcomed",Rubkona
"The article discusses Concord, an agri-business created in Unity State, South Sudan. The project is sustainably developing 250,000 acres of land to improve food security and socio-economic benefits to the surrounding community. Concord is growing desperately needed crops including wheat, sorghum and maize, all for local consumption. It will continue to serve the needs of the domestic market for the foreseeable future. Citadel Capital has invested US$ 25 million in the project, which makes them the largest investors in South Sudan outside the oil industry. The article highlights the urgent demand for safe, healthy and affordable food in South Sudan and the need for sustainable agricultural practices.",2012-03-21,Unity State,8.9277211,29.7889248,2878,Koch,True,True,True,True,0,no,yes,no,"Agri-business created, which highlights demand for nutrition",Unity state
"The article discusses aerial bombing by Sudan Air force on Bentiu town in Unity State and serious ground fighting between Sudan Armed forces and Sudan People's Liberation Army at various locations including the borders of Sudan and South Sudan. The lack of border demarcation has contributed to the fighting, causing fear and displacement among civilians. The SPLA claims to have repelled SAF from South Sudan territory in self-defense and recovered the Heglig area. Both sides have accused each other of encroaching into their respective territories.",2012-03-28,Bentiu town,9.231487,29.8005027,2956,Rubkona,False,False,False,True,2,yes,no,no,"SPLA vs Sudan Air aerial bombings and ground fights (NOTE: SUDAN, NOT SOUTH SUDAN)",Rubkona
"The article discusses the potential devastating economic and human costs of a return to war between South Sudan and Sudan, as well as the unresolved issues that have been plaguing the two countries since South Sudan's independence in July 2011. The report estimates that a war could cost the region $100 billion, with Sudan and South Sudan potentially losing $50 billion in GDP combined. The African and Arab civil society organisations call on their Sudanese and South Sudanese counterparts to immediately cease their deadly path and resolve their issues peacefully. The Arab League and African Union plan on meeting to discuss these issues. South Sudan halting oil production and Sudan's suffering economy add to the financial risks of the conflict. The report also predicts that the anticipated overall cost would be severe for Sudan and South Sudan's neighbours, particularly Kenya and Ethiopia.",2012-03-29,Unity State,8.9277211,29.7889248,3003,Koch,False,False,False,True,1,no,yes,no,Potential effects of South Sudan and Sudan,Unity state
"The article discusses the instruction by the President of South Sudan, Salva Kiir Mayardit, to the governors of five states including Unity State, to mobilize the public for defense against Sudan following military confrontations in Sudan's oil-rich town of Heglig. Kiir reiterated that South Sudan had no intention of entering a war with Sudan but vowed to show no leniency in defending his country's sovereignty. The president also asked governors to protect the lives of Sudanese citizens living in South Sudan and appealed to citizens of Sudan not to be misled by Jihad campaigns orchestrated by their government.",2012-03-30,Unity State,8.9277211,29.7889248,3009,Koch,False,False,False,True,1,no,yes,no,Preseident instructs governors of 5 states to mobilize public for defense against Sudan,Unity state
"The article discusses an attack by SSLA forces on a SPLA position in Bentiu town, resulting in many casualties. The SSLA forces found the body of Brig. Gen. Gatwech Gai Marial and two other colonels from the Dinka tribe. The SSLA is now marching towards Bentiu town to liberate it from the tribal government of Salva Kiir. The SSLA is fighting to restore the dignity of SPLA forces and to end corruption in South Sudan. The article calls for SPLA forces to join the revolutionary forces and overthrow Salva Kiir's regime.",2012-04-02,Bentiu town,9.231487,29.8005027,3027,Rubkona,False,True,True,True,2,yes,no,yes,"SSLA attacked SPLA, SSLA fighting SPLA forces to restore dignity of SPLA and to end corruption in South Sudan ",Rubkona
The article discusses the aerial bombardment of Bentiu and other areas in Unity State by Sudan Air Force planes. The government of South Sudan condemns this aggression and accuses Sudan of sabotaging the summit between the two presidents. South Sudan vows to defend its territory if attacked but will refrain from initiating any attacks.,2012-03-28,Bentiu,9.231487,29.8005027,3033,Rubkona,False,False,False,True,2,yes,no,no,"Sudan Air Force bombs Bentiu, South Sudan angry",Rubkona
"The article discusses the ongoing conflicts and disputes between Sudan and South Sudan over the Unity State, with both sides accusing each other of attacking and bombing their territories. The United Nation Mission in South Sudan is calling for peace negotiations and urging both sides to sign the proposed agreement at the African Union-chaired talks in Addis Ababa. The article also touches on the political complexitites surrounding the issue, such as the historical ties between the two countries, as well as allegations of South Sudan's involvement with armed groups fighting the Sudanese government.",2012-04-06,Unity State,8.9277211,29.7889248,3049,Koch,False,False,False,True,0,no,yes,no,South Sudan and Sudan clashes over Unity state,Unity state
"The article discusses the Vice President of South Sudan, Riek Machar Teny's visit to Lakes, Unity and Warrap states to encourage peace and reconciliation between the communities in the three bordering states that have been embroiled in cross-border cattle raiding between communities as well as internal clan conflicts.",2012-04-08,Bentiu,9.231487,29.8005027,3102,Rubkona,True,True,True,True,0,no,yes,no,"South Sudan VP urges peace talks in Lakes, Warrap and Unity to end conflicts/tensions/cattle raids",Unity state
The article discusses air bombardment by the Sudan Air Force on Unity State in South Sudan causing fear and displacement of civilians. The bombing was in response to fights between the Sudan and South Sudan armies. Negotiations in Addis Ababa failed to make a breakthrough.,2012-04-08,Unity State,8.9277211,29.7889248,3161,Koch,False,False,False,True,2,no,yes,no,Sudan Air Force bombs Unity State,Unity state
"The article discusses the bombing of Rubkotna bridge and Bentiu in Unity State by SAF, resulting in the deaths of civilians and soldiers, as well as the ongoing conflict between South Sudan's military and SAF. South Sudan's minister of information and broadcasting called for the UN and AU to intervene and stop Khartoum's 'senseless killing of ordinary civilians' in South Sudan. The article also includes comments from South Sudan's ruling Sudan People's Liberation Movement, accusing Khartoum of warmongering and claiming that Panthou (Heglig) was never part of Sudan.",2012-04-14,Rubkotna bridge,9.2801507,29.7802409,3232,Rubkona,True,True,True,True,2,yes,no,no,Bombings of Rubkotna bridge and Bentiu by Sudanese Armed Forces,Rubkona
The article discusses that Members of Parliament in an unspecified country agreed to cut 10% of their salaries for three months to support the SPLA soldiers fighting the Sudan armed forces in Unity State borders and other disputed borders. They also plan to donate and send two ambulances plus drugs to the SPLA army in the frontline in Unity State borders and establish a medical team and a mobile hospital to treat the wounded soldiers. Some MPs also urged others to be prepared for a possible real war and to donate blood for the soldiers. The article showcases their support of President Kiir's decision to defend the country against any violation or aggression from Khartoum. ,2012-04-15,Unity State borders,8.9277211,29.7889248,3236,Koch,True,True,True,True,1,no,yes,no,Parliament supports SPLA financially fighting Sudan,Unity state
"The article discusses the call by Always Be Tolerant (ABETO), an NGO focused on creating tolerance and peace in Africa, for an immediate international response to the ongoing clashes between South Sudan and Sudan. The clashes are centered around territorial area ownership with recent reports indicating that Sudan has bombed two towns in Unity state resulting in four civilian casualties and over 20 wounded. ABETO is calling on the African Union and the United Nations to intervene before the situation escalates into full-scale war. The NGO also urges civil society organizations operating in the two countries to lead their governments to peaceful resolution through dialogue and tolerance.",2012-04-17,Unity state,8.9277211,29.7889248,3267,Koch,True,True,True,True,1,no,yes,no,Always Be Tolerant focuses to create tolerance between Sudan and South Sudan after Sudan bombing,Unity state
The article discusses the UN Mission in South Sudan's disappointment and concerns about Sudan Armed Forces' (SAF) continued aerial bombardments in areas populated by civilians in Unity and Warrap states. The UN representative called on both parties to protect civilians and respect international law. The bombings resulted in eight civilian deaths and 22 injuries. SAF denied involvement in the bombings. The violence has raised fears of a return to all-out war in Sudan.,2012-04-17,Bentiu,9.231487,29.8005027,3292,Rubkona,False,False,False,True,1,no,yes,no,Sudan bombed South Sudan again,Unity state
"The article discusses the split of Sudan into the Republic of South Sudan and the Republic of Sudan, with a focus on the Republic of Sudan's erratic and dangerous behavior towards its southern neighbor. The split was largely driven by northern Sudanese elites' desire to control resources in the south, particularly the oil fields in places like Bentiu. Since the split, Sudan has engaged in aggressive actions towards South Sudan, including occupying Abyei and stealing its oil. The article argues that the international community has been biased towards Sudan and that South Sudan needs to take a more proactive approach to diplomacy to get its message heard.",2012-04-16,Bentiu,9.231487,29.8005027,3298,Rubkona,False,False,False,True,2,yes,no,no,"International communities are biased towards Sudan, which is being agressive towards South sudan for oil resources in Bentiu",Rubkona
"The article discusses the United Nations Mission in South Sudan (UNMISS) condemning the continued aerial bombardments in Bentiu town, Unity state, and urging Sudan and South Sudan to ensure the safety of civilians. Reports indicate that Rubkona market was hit, resulting in the death of at least one person and injury of four others. UN officials have spoken out against bombings in Mayom and Bentiu which killed civilians and wounded others, and the Secretary-General has urged the two countries to halt violence along their border areas.",2012-04-23,Bentiu town,9.231487,29.8005027,3320,Rubkona,True,True,True,True,2,yes,no,no,Conflict between Sudan and South Sudan (especcialy for oil resources),Rubkona
"The article discusses the division among South Sudanese citizens amidst the ongoing warfare between North and South Sudan, with some citizens criticizing the government instead of uniting against the bombardment and killing of innocent civilians by Khartoum elites. The author urges solidarity and support for the military personnel, regardless of opposing political or religious views.",2012-04-20,Unity State,8.9277211,29.7889248,3326,Koch,True,True,True,True,2,yes,no,no,Conflict between Sudan and South Sudan (bombings),Koch
"The article discusses the intensive bombardment of Bentiu and Rubkotna in Unity state by SAF warplanes. Bombs targeted a bridge, causing market stalls to burn and civilians to flee in panic, with at least three civilian deaths. The article reports on the ongoing conflict between South Sudan and Sudan, with territorial disputes over the oil-rich town of Heglig, and alleged attacks by SAF in South Sudanese territory. The article also notes the involvement of rebel groups, including the Sudan South Liberation Army (SSLA), in the conflict.",2012-04-23,Bentiu,9.231487,29.8005027,3330,Rubkona,True,True,True,True,2,no,yes,no,Conflict between Sudan and South Sudan (bombings),Unity state
"The article discusses allegations from Sudan's security services that South Sudan's Unity State governor, Taban Deng Gai, is coordinating with the Justice and Equality Movement to attack a Sudan Armed Forces (SAF) base. The article also covers the ongoing border conflict between Sudan and South Sudan, the disputed oil field of Heglig, and accusations of bombing by the SAF. The article includes statements from Gai denying allegations against him and accusing Sudan of lying.",2012-04-20,Unity State,8.9277211,29.7889248,3336,Koch,True,True,True,True,2,yes,no,yes,Conflict between Sudan and south Sudan (bombings) also includes rebels,Koch
"The article discusses the South Sudan Human Rights Commission's appeal to the African Union to consider using the Intergovernmental Authority on Development (IGAD) to mediate between South Sudan and Sudan in their conflicts, due to IGAD's experience. The Commission blames the weakness of the High level Implementation Panel AUHLIP for the failure to implement remaining Comprehensive Peace Agreement protocols, and urges the international community to pressure the Sudan government to stop bombing civilians and allow access for humanitarian aid. The commission also highlights mistreatment of South Sudanese citizens in Sudan and called for the conflict to be settled without bias to minimize human rights violations.",2012-04-26,Unity state,8.9277211,29.7889248,3406,Koch,True,True,True,True,2,no,yes,no,"Conflict between Sudan and South Sudan (bombings), emergency call from religious angles",Unity state
